endTime,artistName,trackName,msPlayed
2023-10-09 12:30,Sam Smith,Stay With Me,1550
2023-10-09 12:33,HAIM,Home,226057
2023-10-09 12:36,Mimi Webb,Freezing,176989
2023-10-09 12:40,Sam Smith,Burning,203289
2023-10-09 12:40,HAIM,The Wire,6423
2023-10-09 12:40,Griff,One Night,3010
2023-10-09 12:40,Kim Petras,Can't Do Better,900
2023-10-09 12:49,MUNA,Runner’s High,223317
2023-10-09 12:53,MUNA,Home By Now,230472
2023-10-09 20:09,Little Mix,Gloves Up,1180
2023-10-09 20:09,Little Mix,Holiday,3090
2023-10-09 20:09,HAIM,The Wire,1870
2023-10-09 20:09,Griff,Walk,1180
2023-10-09 20:09,Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",7400
2023-10-09 20:09,MUNA,Home By Now,4540
2023-10-09 20:13,Ed Sheeran,Photograph,258986
2023-10-09 20:19,Little Mix,"Secret Love Song, Pt. II",990
2023-10-09 20:19,Rihanna,Love On The Brain,5180
2023-10-09 20:19,Little Mix,Towers,1030
2023-10-09 20:19,Sarah McLachlan,"When She Loved Me - From ""Toy Story 2"" / Soundtrack Version",351753
2023-10-09 20:19,Taylor Swift,this is me trying,1190
2023-10-09 20:19,Katy Perry,Unconditionally,1290
2023-10-09 20:19,Lady Gaga,Shallow,2070
2023-10-09 20:27,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),23140
2023-10-09 20:27,Leona Lewis,Bleeding Love,463090
2023-10-09 20:27,P!nk,Try,3740
2023-10-09 20:27,HAIM,Night So Long,2260
2023-10-09 20:27,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,1290
2023-10-09 20:27,Calum Scott,Dancing On My Own,1140
2023-10-09 20:27,Sam Smith,Stay With Me,1190
2023-10-09 20:27,Olivia Rodrigo,drivers license,820
2023-10-09 20:28,Sara Bareilles,Between the Lines,1050
2023-10-09 20:28,Sara Bareilles,She Used To Be Mine,1210
2023-10-09 20:28,Jessie Ware,Say You Love Me,2190
2023-10-09 20:28,Adele,When We Were Young,2020
2023-10-09 20:28,Lewis Capaldi,Pointless,930
2023-10-09 20:28,Leona Lewis,Run,2350
2023-10-09 20:28,Reneé Rapp,Tattoos,1440
2023-10-09 20:33,Kelly Clarkson,Happier Than Ever,310840
2023-10-09 20:34,Loreen,Tattoo,2710
2023-10-09 20:34,NERIAH,Lego Blocks,2340
2023-10-09 20:34,GAYLE,abcdefu,2600
2023-10-09 20:34,Lady Gaga,I'll Never Love Again - Extended Version,870
2023-10-09 20:34,Taylor Swift,All Too Well (Taylor's Version),3930
2023-10-09 20:34,Nina Nesbitt,The Best You Had,7010
2023-10-09 20:34,Lady Gaga,Always Remember Us This Way,5520
2023-10-09 20:34,Wrabel,wish you well,12000
2023-10-09 20:34,Taylor Swift,Maroon,1490
2023-10-09 20:34,Dean Lewis,How Do I Say Goodbye,37509
2023-10-09 20:36,Sam Smith,One Last Song,109050
2023-10-10 13:05,Ēriks Ešenvalds,Only in Sleep,1180
2023-10-10 13:05,James Morgan,All Who Labour,2200
2023-10-10 13:05,Eric Whitacre,The Seal Lullaby,1270
2023-10-10 13:05,Dan Forrest,The Sun never says,1550
2023-10-10 13:05,Eric Whitacre,This Marriage,3720
2023-10-10 13:10,Jean Sibelius,This Is My Song (Finlandia) (Arr. Morgan),261598
2023-10-10 13:14,Traditional,"My Luve is like a Red, Red Rose (Arr. Ešenvalds)",266453
2023-10-10 13:19,Ola Gjeilo,The Ground,18117
